2015-04-02 16:04:50,388 | INFO  | Recovery replayed 2 operations from the journal in 0.015 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-02 16:04:50,451 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:04:50,451 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:04:50,747 | INFO  | Listening for connections at: tcp://TJ-PC:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-02 16:04:50,747 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-02 16:04:50,747 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:TJ-PC-6465-1427983490466-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:04:50,872 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2015-04-02 16:04:50,997 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-02 16:04:51,059 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-02 16:04:51,153 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2015-04-02 16:04:51,168 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2015-04-02 16:04:51,199 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2015-04-02 16:04:51,231 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2015-04-02 16:05:20,466 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:6469
2015-04-02 16:24:22,090 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1134affc: startup date [Thu Apr 02 16:24:22 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
